City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,kavaratti,92,IN,1538975664,100,10.57,72.64,75.57,3.49
77,mataura,92,NZ,1538975242,65,-46.19,168.86,51.09,16.02
78,broken hill,92,AU,1538975272,40,-31.97,141.45,74.31,17.25
79,lebu,12,ET,1538975298,31,8.96,38.73,66.12,3.83
80,juegang,20,CN,1538975665,84,32.31,121.18,73.32,14.45
81,atuona,88,PF,1538975263,100,-9.8,-139.03,77.64,10.42
82,samarai,0,PG,1538975413,100,-10.62,150.67,78.0,14.0
83,hofn,0,IS,1538975302,100,64.25,-15.21,41.37,16.58
84,boa vista,0,BR,1538974800,65,2.82,-60.67,82.4,5.82
85,tateyama,20,JP,1538974800,57,36.66,137.31,75.2,5.82
86,tevaitoa,92,PF,1538975666,100,-16.78,-151.5,76.47,11.43
87,norman wells,20,CA,1538971200,58,65.28,-126.83,30.2,13.87
88,vardo,1,US,1538973900,100,39.62,-77.74,75.92,2.93
89,leesburg,1,US,1538975160,100,39.12,-77.56,73.94,5.95
90,nanortalik,32,GL,1538975280,100,60.14,-45.24,33.99,15.79
91,la rioja,0,AR,1538975670,66,-29.41,-66.86,60.81,1.92
92,kodiak,90,US,1538974380,100,39.95,-94.76,60.98,3.36
93,saint-philippe,90,CA,1538973300,94,45.36,-73.48,45.68,8.41
94,williamsport,40,US,1538974440,92,41.25,-77.0,69.98,4.7
95,thouars,90,FR,1538974800,93,46.98,-0.22,51.8,5.82
96,makat,0,KZ,1538975671,40,47.65,53.35,54.33,9.98
97,najran,0,SA,1538971200,22,17.54,44.22,69.8,3.38
98,puerto suarez,8,BO,1538975671,81,-18.96,-57.8,77.19,5.39
99,esperance,20,TT,1538971200,100,10.24,-61.45,77.0,4.94
100,north battleford,80,CA,1538975672,91,52.78,-108.3,34.71,11.21
101,east london,0,ZA,1538971200,82,-33.02,27.91,64.4,12.75
102,pochutla,76,MX,1538975407,100,15.74,-96.47,80.97,6.85
103,torbay,90,CA,1538972340,93,47.66,-52.73,39.2,9.17
104,mount gambier,64,AU,1538975252,79,-37.83,140.78,67.83,3.6
105,birjand,0,IR,1538971200,26,32.86,59.22,53.6,9.17
106,namibe,80,AO,1538975251,100,-15.19,12.15,67.02,9.75
107,khatanga,68,RU,1538975266,88,71.98,102.47,47.22,11.21
108,san quintin,20,PH,1538974800,70,17.54,120.52,87.8,6.93
109,herat,0,AF,1538975501,75,34.35,62.22,48.03,7.18
110,pisco,90,PE,1538971200,88,-13.71,-76.2,66.2,8.05
111,mar del plata,48,AR,1538975179,100,-46.43,-67.52,41.19,8.63
112,georgetown,0,GY,1538971200,100,6.8,-58.16,77.0,2.24
113,kitimat,90,CA,1538974800,100,54.02,-128.69,46.4,2.24
114,bambous virieux,40,MU,1538971200,73,-20.34,57.76,75.2,11.41
115,tasiilaq,92,GL,1538974200,100,65.61,-37.64,32.0,2.24
116,souillac,90,FR,1538973000,87,45.6,-0.6,55.4,11.41
117,thompson,90,CA,1538971200,85,55.74,-97.86,24.8,3.36
118,nikolskoye,24,RU,1538973000,100,59.7,30.79,28.4,4.47
119,kununurra,0,AU,1538973000,27,-15.77,128.74,102.2,10.29
120,peniche,0,PT,1538973000,44,39.36,-9.38,59.0,9.17
121,langxiang,76,CN,1538975674,48,46.95,128.87,46.86,4.94
122,saint george,20,GR,1538972400,87,39.45,22.34,55.4,5.82
123,clyde river,90,CA,1538973480,100,70.47,-68.59,23.0,3.36
124,geraldton,75,CA,1538971200,92,49.72,-86.95,30.2,2.24
125,vrangel,0,RU,1538975677,100,42.73,133.08,59.82,16.35
126,bennington,90,US,1538974440,92,42.88,-73.2,59.0,1.81
127,sayyan,0,YE,1538975659,17,15.17,44.32,68.46,3.94
128,la maddalena,20,IT,1538974200,100,39.15,9.02,68.0,3.36
129,bluff,68,AU,1538975282,35,-23.58,149.07,86.73,4.61
130,leshukonskoye,88,RU,1538975418,97,64.9,45.76,35.25,3.38
131,osmena,12,PH,1538975679,100,12.17,124.59,79.71,4.38
132,balezino,92,RU,1538975679,98,57.97,53.01,48.03,17.25
133,brookhaven,1,US,1538974560,92,40.78,-72.92,71.06,3.36
134,morondava,0,MG,1538975679,80,-20.3,44.28,78.54,3.38
135,jalu,20,LY,1538975321,62,29.03,21.55,73.05,6.73
136,severo-kurilsk,44,RU,1538975252,86,50.68,156.12,48.39,6.85
137,rockland,90,US,1538974260,87,42.13,-70.92,60.98,12.75
138,altamira,80,BR,1538975680,86,-3.2,-52.21,78.72,4.38
139,haines junction,76,CA,1538975368,100,60.75,-137.51,26.97,2.59
140,saskylakh,0,RU,1538975264,93,71.97,114.09,43.8,13.78
141,upernavik,80,GL,1538975262,100,72.79,-56.15,31.92,12.21
142,adrar,0,DZ,1538971200,28,27.87,-0.29,69.8,8.05
143,chukhloma,88,RU,1538975681,98,58.76,42.68,39.57,23.62
144,shache,0,CN,1538975409,33,38.42,77.24,68.64,3.38
145,krasnogorsk,75,RU,1538973000,93,55.82,37.34,55.4,20.13
146,sao felix do xingu,88,BR,1538975314,99,-6.64,-51.99,72.6,2.04
147,gizo,20,IL,1538972400,73,31.8,34.94,73.4,4.7
148,kenai,90,US,1538970960,86,60.55,-151.26,48.92,5.82
149,blagoveshchenka,0,RU,1538975419,67,52.83,79.87,51.27,16.8
150,buraydah,0,SA,1538971200,33,26.33,43.97,75.2,3.36
151,pevek,92,RU,1538975267,100,69.7,170.27,34.44,10.76
152,iqaluit,90,CA,1538971200,79,63.75,-68.52,28.4,9.17
153,sovetskiy,92,RU,1538975404,96,56.76,48.47,49.29,22.06
154,kahului,75,US,1538970960,76,20.89,-156.47,82.4,12.75
155,dingle,64,PH,1538975256,65,11.0,122.67,86.1,6.17
156,calama,0,CL,1538974800,26,-22.46,-68.93,48.2,17.22
157,nemuro,75,JP,1538971200,87,43.32,145.57,55.4,6.93
158,taltal,0,CL,1538975309,87,-25.41,-70.49,51.99,2.59
159,arlit,80,NE,1538975342,25,18.74,7.39,79.35,6.96
160,usinsk,92,RU,1538975264,100,66.0,57.56,37.59,8.86
161,solnechnyy,88,RU,1538975315,85,50.72,136.64,49.83,3.71
162,severo-yeniseyskiy,0,RU,1538975683,44,60.37,93.04,54.33,8.63
163,gryazovets,68,RU,1538975683,93,58.88,40.25,40.2,19.26
164,cherepanovo,0,RU,1538975683,48,54.23,83.37,52.71,15.79
165,ballina,90,IE,1538974800,100,54.11,-9.15,53.6,17.22
166,banda aceh,92,ID,1538975214,90,5.56,95.32,81.87,3.27
